City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,57.811999999999955,75,78,10.56,ZA,2023-06-12 21:44:05
1,ternate,0.8,127.4,80.20399999999995,85,79,2.78,ID,2023-06-12 21:45:38
2,saipan,15.1355,145.701,88.77200000000005,100,40,5.66,MP,2023-06-12 21:42:49
3,ribeira grande,38.5167,-28.7,67.04600000000005,97,10,0.45,PT,2023-06-12 21:44:04
4,lorengau,-2.0226,147.2712,85.73000000000005,74,62,4.72,PG,2023-06-12 21:45:38
5,karachi,24.9056,67.0822,89.69000000000003,51,75,7.2,PK,2023-06-12 21:40:40
6,port-aux-francais,-49.35,70.2167,43.358000000000004,88,100,13.91,TF,2023-06-12 21:43:59
7,iqaluit,63.7506,-68.5145,33.8,69,75,4.63,CA,2023-06-12 21:44:00
8,edinburgh of the seven seas,-37.0676,-12.3116,59.46799999999999,90,100,8.33,SH,2023-06-12 21:44:00
9,touros,-5.1989,-35.4608,75.59600000000006,89,4,4.53,BR,2023-06-12 21:44:28
10,grytviken,-54.2811,-36.5092,26.78000000000004,85,95,4.25,GS,2023-06-12 21:43:56
11,papatowai,-46.5619,169.4708,52.82599999999999,80,27,2.29,NZ,2023-06-12 21:44:01
12,adamstown,-25.066,-130.1015,69.22400000000002,62,38,3.01,PN,2023-06-12 21:43:56
13,vorgashor,67.5833,63.95,47.08399999999999,53,100,5.75,RU,2023-06-12 21:42:14
14,west island,-12.1568,96.8225,80.85199999999998,83,40,8.47,CC,2023-06-12 21:42:12
15,kayangel,8.0823,134.7173,81.96799999999999,78,64,4.03,PW,2023-06-12 21:45:39
16,avarua,-21.2078,-159.775,79.12400000000002,83,20,7.72,CK,2023-06-12 21:45:38
17,la tijera,19.9,-104.4,64.47200000000004,83,76,1.24,MX,2023-06-12 21:45:39
18,beyneu,45.3167,55.2,82.976,17,8,4.59,KZ,2023-06-12 21:44:41
19,petropavlovsk-kamchatsky,53.0452,158.6483,72.46400000000003,38,0,6.0,RU,2023-06-12 21:45:25
20,port elizabeth,-33.918,25.5701,55.958000000000006,65,0,3.6,ZA,2023-06-12 21:45:29
21,mogadishu,2.0371,45.3438,79.10600000000002,86,26,6.92,SO,2023-06-12 21:45:40
22,waitangi,-43.9535,-176.5597,52.08800000000005,89,94,1.34,NZ,2023-06-12 21:44:01
23,saldanha,-33.0117,17.9442,55.72400000000002,83,100,7.95,ZA,2023-06-12 21:45:40
24,kibre mengist,5.8833,38.9833,56.317999999999984,98,95,1.22,ET,2023-06-12 21:45:40
25,camana,-16.6228,-72.7111,64.41799999999998,81,91,4.7,PE,2023-06-12 21:45:40
26,st. john's,47.5649,-52.7093,47.04800000000002,95,100,7.2,CA,2023-06-12 21:45:40
27,sandnessjoen,66.0217,12.6316,47.19199999999999,96,43,1.34,NO,2023-06-12 21:45:40
28,stanley,54.868,-1.6985,53.977999999999966,94,100,0.51,GB,2023-06-12 21:44:05
29,santiago de cao,-7.9589,-79.2392,71.99600000000005,83,75,4.63,PE,2023-06-12 21:45:41
30,puerto ayora,-0.7393,-90.3518,79.826,93,76,4.47,EC,2023-06-12 21:42:15
31,waingapu,-9.6567,120.2641,83.65999999999998,54,43,7.24,ID,2023-06-12 21:44:00
32,nadi,-17.8,177.4167,82.66999999999996,69,40,5.14,FJ,2023-06-12 21:45:41
33,tiksi,71.6872,128.8694,37.23800000000004,96,100,3.1,RU,2023-06-12 21:43:59
34,wailua homesteads,22.0669,-159.378,81.30199999999998,80,20,6.69,US,2023-06-12 21:44:09
35,port saint john's,-31.6229,29.5448,58.55,66,79,2.75,ZA,2023-06-12 21:44:28
36,sao joao da barra,-21.6403,-41.0511,73.04000000000002,88,75,2.77,BR,2023-06-12 21:45:41
37,sipalay,9.75,122.5,88.142,64,100,3.05,PH,2023-06-12 21:45:42
38,gaoyou,32.7858,119.4278,78.29600000000005,52,100,1.19,CN,2023-06-12 21:45:42
39,albany,42.6001,-73.9662,69.18800000000005,78,100,1.34,US,2023-06-12 21:41:50
40,bethel,41.3712,-73.414,67.29800000000003,89,100,2.06,US,2023-06-12 21:44:04
41,puerto natales,-51.7236,-72.4875,35.81600000000001,94,100,1.88,CL,2023-06-12 21:44:05
42,shimoda,34.6667,138.95,79.37599999999999,86,86,3.14,JP,2023-06-12 21:45:42
43,lihue,21.9789,-159.3672,81.91400000000004,74,20,6.69,US,2023-06-12 21:44:01
44,yellowknife,62.456,-114.3525,45.391999999999996,70,75,3.09,CA,2023-06-12 21:40:49
45,talnakh,69.4865,88.3972,51.69199999999999,62,89,2.4,RU,2023-06-12 21:44:16
46,gadzhiyevo,69.2551,33.3362,49.55,65,98,6.94,RU,2023-06-12 21:44:18
47,kalifornsky,60.4183,-151.29,48.811999999999955,69,75,3.6,US,2023-06-12 21:45:43
48,kailua-kona,19.6406,-155.9956,82.63399999999999,83,40,4.63,US,2023-06-12 21:45:43
49,chayan,43.0297,69.3772,83.94800000000004,14,98,5.91,KZ,2023-06-12 21:45:43
50,morehead city,34.7229,-76.726,76.28000000000004,90,75,6.17,US,2023-06-12 21:45:36
51,jianshui,23.6363,102.8264,70.66400000000004,86,100,1.87,CN,2023-06-12 21:45:43
52,iraucuba,-3.7461,-39.7833,72.55399999999995,91,0,1.65,BR,2023-06-12 21:45:43
53,iskateley,67.6803,53.1512,49.55,56,79,4.15,RU,2023-06-12 21:45:43
54,castillos,-34.1667,-53.8333,48.79399999999997,66,98,1.76,UY,2023-06-12 21:44:28
55,jamestown,42.097,-79.2353,57.056000000000026,79,100,4.12,US,2023-06-12 21:41:29
56,thompson,55.7435,-97.8558,46.832000000000015,81,100,5.14,CA,2023-06-12 21:45:35
57,dul'durga,50.6761,113.5931,87.90800000000002,21,28,3.36,RU,2023-06-12 21:52:32
58,san patricio,28.017,-97.5169,83.11999999999996,86,54,5.99,US,2023-06-12 21:45:29
59,arkhangel'sk,64.5401,40.5433,61.898000000000025,53,87,4.89,RU,2023-06-12 21:44:31
60,robore,-18.3333,-59.75,46.09399999999997,95,100,2.81,BO,2023-06-12 21:46:58
61,invercargill,-46.4,168.35,53.25800000000001,83,63,1.26,NZ,2023-06-12 21:41:50
62,san felipe,10.3399,-68.7425,73.90399999999995,98,100,0.42,VE,2023-06-12 21:45:44
63,ushuaia,-54.8,-68.3,40.92799999999996,75,20,10.8,AR,2023-06-12 21:39:26
64,ilulissat,69.2167,-51.1,35.88800000000005,75,75,0.0,GL,2023-06-12 21:43:58
65,kharp,66.8014,65.8081,47.75,50,99,2.63,RU,2023-06-12 21:45:45
66,nar'yan-mar,67.6713,53.087,49.58599999999997,56,82,4.16,RU,2023-06-12 21:43:54
67,angaur state,6.906,134.13,81.51799999999999,78,92,4.07,PW,2023-06-12 21:46:58
68,hasaki,35.7333,140.8333,81.55399999999995,85,99,5.43,JP,2023-06-12 21:43:34
69,kodiak,57.79,-152.4072,56.983999999999995,47,20,6.17,US,2023-06-12 21:42:17
70,bilibino,68.0546,166.4372,44.95999999999998,89,100,5.75,RU,2023-06-12 21:45:33
71,beloyarskiy,63.7119,66.6722,49.60399999999996,45,47,2.85,RU,2023-06-12 21:45:46
72,okha,53.5739,142.9478,47.89399999999997,87,97,4.25,RU,2023-06-12 21:52:26
73,margaret river,-33.95,115.0667,61.03399999999999,69,100,7.74,AU,2023-06-12 21:41:49
74,namibe,-15.1961,12.1522,60.69199999999999,79,4,0.99,AO,2023-06-12 21:45:46
75,port-vila,-17.7338,168.3219,76.87400000000002,83,100,3.6,VU,2023-06-12 21:45:46
76,hermanus,-34.4187,19.2345,61.069999999999965,88,100,13.84,ZA,2023-06-12 21:43:58
77,ndioum,16.5129,-14.6471,88.84399999999997,25,86,3.66,SN,2023-06-12 21:45:47
78,glace bay,46.1969,-59.957,53.167999999999985,86,40,1.79,CA,2023-06-12 21:45:47
79,conceicao da barra,-18.5933,-39.7322,72.64399999999998,87,0,2.93,BR,2023-06-12 21:45:47
80,polyarnyy,69.1989,33.4478,50.03599999999997,65,92,6.32,RU,2023-06-12 21:45:47
81,atar,20.5169,-13.0499,84.542,22,66,4.04,MR,2023-06-12 21:45:47
82,selfoss,63.9331,-20.9971,47.11999999999996,81,4,1.83,IS,2023-06-12 21:52:31
83,chillicothe,39.3331,-82.9824,57.77599999999999,67,40,3.09,US,2023-06-12 21:41:13
84,al jawf,29.5,38.75,75.48800000000006,33,0,1.88,SA,2023-06-12 21:44:09
85,grand falls-windsor,48.9332,-55.6649,43.627999999999965,95,80,1.36,CA,2023-06-12 21:41:04
86,'ain el turk,35.7438,-0.7693,68.95399999999995,73,20,4.63,DZ,2023-06-12 21:45:47
87,ipu,-4.3222,-40.7108,72.10399999999996,81,2,0.78,BR,2023-06-12 21:45:48
88,nemuro,43.3236,145.575,53.81600000000001,97,100,5.12,JP,2023-06-12 21:44:02
89,hamilton,39.1834,-84.5333,58.31600000000001,74,20,2.06,US,2023-06-12 21:40:49
90,nikolayevsk-on-amure,53.1406,140.73,63.40999999999998,57,67,3.72,RU,2023-06-12 21:47:50
91,sattahip,12.6664,100.9007,90.24800000000002,74,40,5.14,TH,2023-06-12 21:45:48
92,el calafate,-50.3408,-72.2768,32.791999999999994,70,100,1.34,AR,2023-06-12 21:47:01
93,abatskoye,56.2875,70.4555,55.07599999999999,55,85,3.06,RU,2023-06-12 21:45:48
94,labuan,5.2767,115.2417,88.43000000000004,74,40,1.54,MY,2023-06-12 21:45:48
95,georgetown,5.4112,100.3354,87.99800000000002,79,20,3.09,MY,2023-06-12 21:44:16
96,blackmans bay,-43.0167,147.3167,55.00399999999995,76,100,3.92,AU,2023-06-12 21:41:41
97,axim,4.8699,-2.2405,77.108,71,84,2.52,GH,2023-06-12 21:52:36
98,kajansi,0.2081,32.5222,63.158,86,100,1.57,UG,2023-06-12 21:45:49
99,taroa,8.7058,171.2275,83.28200000000001,79,63,8.37,MH,2023-06-12 21:43:08
100,livingston,55.9029,-3.5226,57.398000000000025,98,100,4.63,GB,2023-06-12 21:48:16
101,isafjordur,66.0755,-23.124,45.95,81,68,2.96,IS,2023-06-12 21:45:25
102,san andres,12.5847,-81.7006,84.48800000000006,84,20,4.63,CO,2023-06-12 21:45:27
103,great bend,38.3645,-98.7648,70.19600000000005,59,75,1.54,US,2023-06-12 21:45:49
104,iwanai,42.9744,140.5089,71.24000000000002,77,95,1.44,JP,2023-06-12 21:45:49
105,nagqu,31.5,92.0,49.13599999999997,55,98,3.51,CN,2023-06-12 21:45:44
106,bardai,11.65,7.2333,72.66199999999995,85,63,2.55,NG,2023-06-12 21:45:50
107,punta arenas,-53.15,-70.9167,43.17799999999996,70,20,6.17,CL,2023-06-12 21:43:57
108,longyearbyen,78.2186,15.6401,37.508,75,75,5.14,SJ,2023-06-12 21:45:50
109,srivardhan,18.0333,73.0167,83.80399999999995,80,36,8.28,IN,2023-06-12 21:45:50
110,zhangye,38.9342,100.4517,86.99000000000002,11,0,6.14,CN,2023-06-12 21:52:37
111,warrnambool,-38.3833,142.4833,55.742,74,100,7.99,AU,2023-06-12 21:44:57
112,gaigeturi,33.4644,126.3183,71.924,88,75,2.06,KR,2023-06-12 21:47:03
113,enewetak,11.3474,162.3373,82.59800000000003,81,99,8.62,MH,2023-06-12 21:41:15
114,mejit,10.2753,170.8646,82.54399999999998,80,86,9.03,MH,2023-06-12 21:45:51
115,dudinka,69.4058,86.1778,53.150000000000006,56,64,2.98,RU,2023-06-12 21:44:31
116,hawaiian paradise park,19.5933,-154.9731,83.984,70,0,0.45,US,2023-06-12 21:45:34
117,zhanaozen,43.3,52.8,82.41799999999998,15,4,5.46,KZ,2023-06-12 21:47:03
118,dunedin,-45.8742,170.5036,55.07599999999999,64,60,1.79,NZ,2023-06-12 21:45:51
119,carnarvon,-24.8667,113.6333,66.70399999999995,31,0,6.83,AU,2023-06-12 21:44:51
120,howrah,22.5892,88.3103,88.06999999999996,84,40,2.57,IN,2023-06-12 21:45:47
121,atafu village,-8.5421,-172.5159,83.89399999999998,75,33,6.83,TK,2023-06-12 21:44:25
122,aasiaat,68.7098,-52.8699,27.608000000000004,86,44,2.1,GL,2023-06-12 21:44:19
123,ukiah,39.1502,-123.2078,72.91400000000004,81,69,1.55,US,2023-06-12 21:45:51
124,keflavik,64.0049,-22.5624,47.13800000000005,87,0,1.54,IS,2023-06-12 21:41:41
125,abong mbang,3.9833,13.1833,66.38000000000005,99,99,1.21,CM,2023-06-12 21:45:52
126,college,64.8569,-147.8028,63.193999999999974,42,75,7.72,US,2023-06-12 21:43:59
127,essaouira,31.5125,-9.77,69.566,88,32,4.12,MA,2023-06-12 21:45:52
128,lata,40.1629,-8.3327,65.33599999999997,98,99,1.72,PT,2023-06-12 21:45:52
129,dagda,56.0951,27.5372,49.31600000000001,75,30,2.01,LV,2023-06-12 21:45:52
130,priozersk,61.0393,30.1291,55.219999999999956,56,9,3.3,RU,2023-06-12 21:45:52
131,tazovsky,67.4667,78.7,34.17799999999996,91,100,7.98,RU,2023-06-12 21:45:35
132,el porvenir,13.7617,-87.3458,82.00399999999996,93,98,2.12,HN,2023-06-12 21:45:52
133,klyuchi,52.2667,79.1667,66.59600000000006,54,18,4.38,RU,2023-06-12 21:45:26
134,vadso,70.0744,29.7487,49.351999999999975,66,0,7.2,NO,2023-06-12 21:52:40
135,narvik,68.4384,17.4272,46.65199999999997,81,100,4.44,NO,2023-06-12 21:47:05
136,arecibo,18.4724,-66.7157,83.53399999999999,87,5,0.45,PR,2023-06-12 21:45:53
137,labytnangi,66.6572,66.4183,48.72200000000004,46,98,4.02,RU,2023-06-12 21:45:53
138,utrik,11.2278,169.8474,82.25600000000003,80,48,7.99,MH,2023-06-12 21:41:53
139,colonia,50.9333,6.95,65.11999999999996,57,0,2.57,DE,2023-06-12 21:47:54
140,urumqi,43.801,87.6005,76.424,44,0,2.0,CN,2023-06-12 21:45:53
141,belen,36.4891,36.2233,63.01400000000004,78,40,4.12,TR,2023-06-12 21:45:53
142,prainha,-1.8,-53.48,73.85,97,48,1.42,BR,2023-06-12 21:45:53
143,porbandar,21.6422,69.6093,84.41600000000001,83,100,14.84,IN,2023-06-12 21:52:41
144,smolensk,55.0,33.0,47.67799999999996,80,94,2.54,RU,2023-06-12 21:45:54
145,taltal,-25.4,-70.4833,55.400000000000006,79,0,0.48,CL,2023-06-12 21:45:39
146,whistler,50.1164,-122.9695,71.25800000000001,51,80,1.9,CA,2023-06-12 21:45:54
147,smara,26.7384,-11.6719,68.77400000000002,84,15,4.98,EH,2023-06-12 21:45:54
148,port mathurin,-19.6833,63.4167,76.78399999999999,73,9,6.85,MU,2023-06-12 21:42:45
149,arraial do cabo,-22.9661,-42.0278,71.52799999999996,91,2,3.23,BR,2023-06-12 21:44:32
150,kamina,-8.7386,24.9906,62.851999999999975,55,78,1.1,CD,2023-06-12 21:52:42
151,hacienda huancane,-15.8222,-70.8856,32.45,40,54,1.5,PE,2023-06-12 21:45:54
152,afaahiti,-17.75,-149.2833,82.54399999999998,70,28,8.01,PF,2023-06-12 21:44:35
153,mildura,-34.2,142.15,59.342,70,17,9.9,AU,2023-06-12 21:45:55
154,nova sintra,14.8667,-24.7167,70.34000000000003,85,100,10.33,CV,2023-06-12 21:44:57
155,olonkinbyen,70.9221,-8.7187,35.15,90,100,8.97,SJ,2023-06-12 21:44:21
156,eslov,55.8393,13.3039,53.096000000000046,74,0,3.19,SE,2023-06-12 21:45:55
157,al qusayr,34.5091,36.5798,64.56199999999995,79,8,0.69,SY,2023-06-12 21:52:43
158,sechura,-5.5569,-80.8222,73.77799999999996,73,0,7.19,PE,2023-06-12 21:47:34
159,shingu,33.7333,135.9833,83.24600000000005,61,100,0.93,JP,2023-06-12 21:45:55
160,lebu,-37.6167,-73.65,46.30999999999998,70,0,6.13,CL,2023-06-12 21:44:12
161,uturoa,-16.7333,-151.4333,81.21199999999996,73,21,7.05,PF,2023-06-12 21:44:16
162,pontian kechil,1.4866,103.3896,87.27799999999996,84,98,4.98,MY,2023-06-12 21:45:56
163,anloga,5.7947,0.8973,79.15999999999998,71,98,5.41,GH,2023-06-12 21:45:56
164,'ain el hadjar,34.7585,0.1453,60.403999999999954,51,23,2.5,DZ,2023-06-12 21:45:56
165,kudat,6.8837,116.8477,89.79800000000003,70,20,2.06,MY,2023-06-12 21:45:56
166,wanxian,30.8039,108.3897,84.12799999999996,63,61,0.77,CN,2023-06-12 21:45:56
167,barra do corda,-5.5,-45.25,73.61600000000001,76,0,0.5,BR,2023-06-12 21:45:56
168,misratah,32.3754,15.0925,71.45600000000003,76,0,2.07,LY,2023-06-12 21:52:44
169,ar rahad,12.7167,30.65,84.03800000000004,55,60,3.03,SD,2023-06-12 21:45:57
170,sitia,35.2,26.0986,72.24800000000002,82,12,3.06,GR,2023-06-12 21:45:57
171,monrovia,6.3005,-10.7969,77.03599999999997,81,100,4.76,LR,2023-06-12 21:45:57
172,ca mau,9.1769,105.15,91.292,55,94,3.72,VN,2023-06-12 21:45:57
173,villa gesell,-37.2639,-56.973,37.32799999999996,79,52,4.89,AR,2023-06-12 21:43:59
174,forster,-32.1667,152.5167,70.53800000000004,50,100,2.78,AU,2023-06-12 21:45:57
175,mount gambier,-37.8333,140.7667,52.46600000000001,84,100,4.77,AU,2023-06-12 21:44:26
176,pundong,-7.9522,110.3486,83.858,71,100,5.0,ID,2023-06-12 21:45:57
177,gaoual,11.75,-13.2,76.118,92,100,1.92,GN,2023-06-12 21:45:58
178,altai,46.3722,96.2583,57.056000000000026,56,82,1.81,MN,2023-06-12 21:52:37
179,ghat,24.9647,10.1728,85.19000000000003,18,1,1.66,LY,2023-06-12 21:52:45
180,mont-de-marsan,44.0,-0.6667,64.14800000000002,76,0,1.54,FR,2023-06-12 21:45:58
181,oranjemund,-28.55,16.4333,54.391999999999996,81,0,1.54,NA,2023-06-12 21:45:58
182,sitka,57.0531,-135.33,53.76199999999996,62,75,6.17,US,2023-06-12 21:47:10
183,luba,3.4568,8.5547,75.36199999999997,82,100,0.83,GQ,2023-06-12 21:45:58
184,tazacorte,28.629,-17.9293,71.042,85,100,3.09,ES,2023-06-12 21:45:43
185,aykhal,66.0,111.5,59.70199999999998,34,11,7.69,RU,2023-06-12 21:44:37
186,aioun,16.6614,-9.6149,88.05199999999998,42,98,7.01,MR,2023-06-12 21:45:58
187,sabang,5.8933,95.3214,84.03800000000004,72,40,7.26,ID,2023-06-12 21:45:59
188,kapsan-up,41.0903,128.2933,62.38399999999999,73,96,0.3,KP,2023-06-12 21:45:59
189,naze,28.3667,129.4833,72.78800000000004,91,100,3.23,JP,2023-06-12 21:52:32
190,taourirt,34.4073,-2.8973,71.56400000000004,52,14,3.42,MA,2023-06-12 21:45:59
191,vilyuchinsk,52.9306,158.4028,73.94000000000003,47,0,1.42,RU,2023-06-12 21:44:48
192,tura,25.5198,90.2201,81.12200000000004,83,7,3.0,IN,2023-06-12 21:45:59
